Customer_ID,Customer_Name,Gender,Email,Phone,City,State,Signup_Date
CUST_2001,Diya Sharma,Male,diya.sharma49@gmail.com,8028439772,Kanpur,Uttar Pradesh,30-01-2023
CUST_2002,Sneha Kulkarni,Male,sneha.kulkarni72@gmail.com,7297265389,BENGALURU,Karnataka,15-05-2024
CUST_2003,Gaurav Pillai,Male,,9041322179,Ahmedabad,Gujarat,29-04-2024
CUST_2004,Ishita Kumar,Female,ishita.kumar87@gmail.com,8817363524,Visakhapatnam,Andhra Pradesh,05-08-2024
CUST_2005,Vikram Pillai,Male,vikram.pillai49@gmail.com,8713658783,Coimbatore,Tamil Nadu,12-10-2023
CUST_2006,Suresh Das,Female,suresh.das67@gmail.com,7519708988,Visakhapatnam,Andhra Pradesh,05-07-2023
CUST_2007,Sneha Gupta,Female,,9379074728,Mumbai,Maharashtra,28-04-2023
CUST_2008,Rajesh Joshi,Male,rajesh.joshi90@gmail.com,7252860805,Bengaluru,Karnataka,28-04-2023
CUST_2009,Rohan Verma,Female,rohan.verma75@gmail.com,8022222034,Bengaluru,Karnataka,23-05-2023
CUST_2010,divya bhat,Male,divya.bhat26@gmail.com,9452611327,Pimpri-Chinchwad,Maharashtra,23-10-2023
CUST_2011,Diya Joshi,Female,diya.joshi34@gmail.com,7405126137,Indore,Madhya Pradesh,19-02-2023
CUST_2012,Divya Shah,Female,divya.shah62@gmail.com,9005855576,INDORE,Madhya Pradesh,18-03-2024
CUST_2013,RIYA VERMA,Male,riya.verma61@gmail.com,8457293484,Delhi,Delhi,14-02-2024
CUST_2014,Shreya Patel,Male,shreya.patel34@gmail.com,9303329673,Kolkata,West Bengal,18-08-2023
CUST_2015,Rahul Shah,Male,rahul.shah69@gmail.com,8072910436,Pune,Maharashtra,23-03-2024
CUST_2016,Tanvi Gupta,Female,tanvi.gupta22@gmail.com,7217275133,Pimpri-Chinchwad,Maharashtra,30-11-2023
CUST_2017,Ishita Sharma,Male,ishita.sharma31@gmail.com,8745535007,Surat,Gujarat,09-06-2023
CUST_2018,diya rao,Female,diya.rao31@gmail.com,8627677064,Delhi,Delhi,01-02-2023
CUST_2019,Siddharth Nair,Female,siddharth.nair64@gmail.com,9991837629,Jaipur,Rajasthan,05-05-2024
CUST_2020,Riya Pillai,Female,riya.pillai34@gmail.com,8274350327,Ahmedabad,Gujarat,22-04-2023
CUST_2021,Ananya Kulkarni,Male,ananya.kulkarni50@gmail.com,7245522896,Guwahati,Assam,26-01-2023
CUST_2022,Rajesh Bhat,Male,rajesh.bhat75@gmail.com,7344076024,Delhi,Delhi,03-11-2024
CUST_2023,Pooja Gupta,Male,pooja.gupta40@gmail.com,8734202708,Chandigarh,Punjab,03-03-2023
CUST_2024,Kunal Kulkarni,Male,kunal.kulkarni86@gmail.com,7170689059,Patna,Bihar,14-11-2023
CUST_2025,Rohan Shah,Female,rohan.shah36@gmail.com,9876451072,PUNE,Maharashtra,01-02-2024
CUST_2026,Karan Joshi,Female,karan.joshi26@gmail.com,9884887457,Nagpur,Maharashtra,27-11-2023
CUST_2027,Neha Agarwal,Female,neha.agarwal11@gmail.com,8968321228,Bengaluru,Karnataka,15-11-2023
CUST_2028,Rajesh Patel,Male,rajesh.patel37@gmail.com,9172758129,Pimpri-Chinchwad,Maharashtra,16-05-2023
CUST_2029,Rahul Das,Male,rahul.das57@gmail.com,8224011447,Surat,Gujarat,22-03-2023
CUST_2030,Arjun Pillai,Female,arjun.pillai93@gmail.com,9271782900,Vadodara,Gujarat,01-05-2023
CUST_2031,Divya Pillai,Female,,7576775860,Chandigarh,Punjab,16-05-2023
CUST_2032,Priya Patel,Male,priya.patel46@gmail.com,9597724240,Pune,Maharashtra,18-04-2023
CUST_2033,Varun Chowdhury,Male,varun.chowdhury91@gmail.com,8133802123,Chandigarh,Punjab,16-09-2023
CUST_2034,Diya Nair,Male,diya.nair91@gmail.com,8819243992,Bengaluru,Karnataka,29-02-2024
CUST_2035,Amit Verma,Male,amit.verma26@gmail.com,9736381017,LUCKNOW,Uttar Pradesh,15-05-2023
CUST_2036,Pooja Agarwal,Female,pooja.agarwal11@gmail.com,7480494573,Pimpri-Chinchwad,Maharashtra,02-08-2023
CUST_2037,Kunal Singh,Male,kunal.singh84@gmail.com,9373077127,KANPUR,Uttar Pradesh,17-03-2023
CUST_2038,Simran Singh,Male,simran.singh56@gmail.com,7171347084,Jaipur,Rajasthan,04-05-2024
CUST_2039,Kavya Rao,Male,kavya.rao23@gmail.com,8519038063,Chandigarh,Punjab,02-04-2024
CUST_2040,Ishita Shah,Male,ishita.shah30@gmail.com,7760434037,Surat,Gujarat,27-03-2024
CUST_2041,Simran Sharma,Male,simran.sharma52@gmail.com,8768294479,Guwahati,Assam,15-02-2024
CUST_2042,Divya Joshi,Female,divya.joshi99@gmail.com,7464267084,Chennai,Tamil Nadu,15-07-2023
CUST_2043,Shreya Verma,Female,shreya.verma35@gmail.com,8976987257,Surat,Gujarat,29-06-2023
CUST_2044,Neha Joshi,Male,neha.joshi94@gmail.com,7829486044,Mumbai,Maharashtra,24-07-2023
CUST_2045,Karan Nair,Male,karan.nair54@gmail.com,9755143002,Pune,Maharashtra,18-09-2023
